"brewery","name","year","style"
"Third Moon Brewing Company","Origins of Darkness","N/A","Stout - Imperial / Double Coffee"
"Drekker Brewing Company","Swirlee - Raspberry Creamsicle","N/A","Sour - Smoothie / Pastry"
"Cigar City Brewing®","Jai Alai®","N/A","IPA - American"
"Third Moon Brewing Company","Triple Wither Without You","N/A","IPA - Triple New England / Hazy"
"Põhjala","Faraway Friends (Cellar Series)","N/A","Stout - Imperial / Double"
"Tripping Animals Brewing Co.","Bagheera","N/A","Sour - Fruited"
"White Dog Brewery","Glazed Cinnabon Roll","N/A","Stout - Imperial / Double Pastry"
"White Dog Brewery","Accountability Buddy","N/A","Non-Alcoholic - IPA"
"Sierra Nevada Brewing Co.","Atomic Torpedo","N/A","IPA - Imperial / Double"
"Brasserie de la Senne","Zinnebir","N/A","Pale Ale - Belgian"
"Brasserie de la Senne","Taras Boulba","N/A","Belgian Blonde"
"Brasserie Cantillon","Fou' Foune","N/A","Lambic - Fruit"
"The Kernel Brewery","India Pale Ale Double Superdelic Citra Galaxy","N/A","IPA - Imperial / Double"
"The Kernel Brewery","Bière De Saison Sour Cherry Morello (2024)","2024","Farmhouse Ale - Saison"
"The Kernel Brewery","Imperial Brown Stout London 1856","N/A","Stout - Russian Imperial"
"Mahrs Bräu","E.T.A. Hoffmann","N/A","Lager - Munich Dunkel"
"CRAK Brewery","Crak + Alder","N/A","IPA - American"
"Deschutes Brewery","Black Butte Non-Alcoholic","N/A","Non-Alcoholic - Porter / Stout"
"Schlenkerla","Aecht Schlenkerla Eiche – Doppelbock","N/A","Rauchbier"
"Brauerei Gutmann","Heller Weizenbock","N/A","Bock - Weizenbock"
"Brauerei Zehendner","Mönchsambacher Lagerbier","N/A","Kellerbier / Zwickelbier"
"Sierra Nevada Brewing Co.","Trail Pass IPA","N/A","Non-Alcoholic - IPA"
"Mikkeller","Limbo Riesling","N/A","Non-Alcoholic - Sour"
"Omnipollo","Bianca Non-Alcoholic Raspberry Passion Lassi Gose","N/A","Non-Alcoholic - Sour"
"Sudden Death Brewing Co.","Cherry Berry Crush","N/A","Sour - Smoothie / Pastry"
"Fonta Flora Brewery","Supper Table","N/A","Pumpkin / Yam Beer"
"Revolution Brewing","Anti-Hero","N/A","IPA - American"
